Arrival_Date,log_ret,log_return_lag1,vol_7,vol_7_lag1,vol_30,vol_30_lag1,rainfall_7d,rainfall_7d_lag1,festival_window,days_since_last_arrival,is_price_jump,price_momentum_7,price_momentum_3,month_sin,month_cos,dow_sin,dow_cos,govt_window,govt_none,govt_buffer_operations,govt_export_restriction,govt_farmer_actions,govt_import_support,govt_market_intervention,govt_procurement_support,govt_stock_limit_actions
2025-08-07,0.011257154524634468,0.04239555896768555,0.02642490830433702,0.029742146856047865,0.03264557079756559,0.032576654287315744,11.799999999999999,11.4,0,0,0,0.04580953603129418,0.049723435352430435,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-08-08,0.0,0.011257154524634468,0.02542796833880539,0.02642490830433702,0.03249995058272399,0.03264557079756559,11.600000000000001,11.799999999999999,0,0,0,0.022642476749759805,0.05365271349231999,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-08-09,0.0,0.0,0.024883517840024877,0.02542796833880539,0.03241202742344429,0.03249995058272399,10.6,11.600000000000001,0,0,0,0.007490671729157556,0.01125715452463444,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-08-10,0.0,0.0,0.024883517840024877,0.024883517840024877,0.030814096297410856,0.03241202742344429,11.200000000000001,10.6,0,0,0,0.007490671729157556,0.0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-08-11,0.00817544501524186,0.0,0.015955599244595036,0.024883517840024877,0.028589593813643597,0.030814096297410856,14.7,11.200000000000001,0,0,0,0.057898880367672316,0.008175445015241832,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-08-12,0.12114935108131318,0.00817544501524186,0.044506821789103555,0.015955599244595036,0.03642102586212035,0.028589593813643597,14.399999999999999,14.7,0,0,1,0.18297750958887504,0.129324796096555,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-08-13,0.10922190335434975,0.12114935108131318,0.05459790040915148,0.044506821789103555,0.04137208330451571,0.03642102586212035,17.6,14.399999999999999,0,0,1,0.24980385397553928,0.2385466994509048,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-08-14,-0.061212684167989174,0.10922190335434975,0.06573677439530379,0.05459790040915148,0.04311548763548724,0.04137208330451571,22.9,17.6,0,0,0,0.17733401528291562,0.16915857026767372,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-08-15,0.0,-0.061212684167989174,0.06573677439530379,0.06573677439530379,0.04287894272891057,0.04311548763548724,33.0,22.9,0,0,0,0.17733401528291562,0.048009219186360565,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-08-16,-0.015748356968139168,0.0,0.06700552403764116,0.06573677439530379,0.04088837418537779,0.04287894272891057,54.699999999999996,33.0,0,0,0,0.16158565831477645,-0.07696104113612835,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-08-17,0.0,-0.015748356968139168,0.06700552403764116,0.06700552403764116,0.04088837418537779,0.04088837418537779,62.0,54.699999999999996,0,0,0,0.16158565831477645,-0.01574835696813918,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-08-18,0.04652001563489291,0.0,0.06715083178065759,0.06700552403764116,0.04089884752258328,0.04088837418537779,72.39999999999999,62.0,0,0,0,0.1999302289344275,0.030771658666753725,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-08-19,-0.006079046076382226,0.04652001563489291,0.05380584664760266,0.06715083178065759,0.04094803467881503,0.04089884752258328,86.69999999999999,72.39999999999999,0,0,0,0.07270183177673209,0.04044096955851067,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-08-20,0.0,-0.006079046076382226,0.03163737057687345,0.05380584664760266,0.039989711699688825,0.04094803467881503,86.8,86.69999999999999,0,0,0,-0.03652007157761766,0.04044096955851067,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-08-21,0.0,0.0,0.019840924940589075,0.03163737057687345,0.03991702510073551,0.039989711699688825,82.6,86.8,0,0,0,0.02469261259037151,-0.00607904607638224,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-08-22,0.0,0.0,0.019840924940589075,0.019840924940589075,0.039213248700044036,0.03991702510073551,75.39999999999999,82.6,0,0,0,0.02469261259037151,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
